  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 78-PK-188/20                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   0.000   0.2822   0.00820   0.00385  -0.0627   0.6979   0.7337
   0.250   0.3112   0.00823   0.00388  -0.0633   0.6969   0.7350
   0.500   0.3403   0.00824   0.00390  -0.0638   0.6958   0.7363
   0.750   0.3694   0.00825   0.00391  -0.0644   0.6946   0.7376
   1.000   0.3986   0.00828   0.00393  -0.0650   0.6937   0.7390
   1.250   0.4279   0.00829   0.00394  -0.0657   0.6927   0.7404
   1.500   0.4573   0.00831   0.00395  -0.0663   0.6916   0.7418
   1.750   0.4868   0.00833   0.00396  -0.0670   0.6906   0.7432
   2.000   0.5165   0.00837   0.00398  -0.0677   0.6894   0.7444
   2.250   0.5457   0.00844   0.00404  -0.0683   0.6876   0.7458
   2.500   0.5735   0.00838   0.00403  -0.0686   0.6862   0.7471
   2.750   0.6014   0.00834   0.00403  -0.0690   0.6843   0.7482
   3.000   0.6297   0.00829   0.00402  -0.0694   0.6820   0.7493
   3.250   0.6587   0.00822   0.00397  -0.0699   0.6796   0.7504
   3.500   0.6883   0.00814   0.00389  -0.0705   0.6771   0.7515
   3.750   0.7180   0.00808   0.00382  -0.0711   0.6745   0.7525
   4.000   0.7453   0.00804   0.00381  -0.0713   0.6710   0.7536
   4.250   0.7725   0.00797   0.00378  -0.0715   0.6674   0.7548
   4.500   0.8005   0.00785   0.00367  -0.0718   0.6628   0.7561
   4.750   0.8293   0.00783   0.00364  -0.0722   0.6594   0.7571
   5.000   0.8552   0.00780   0.00367  -0.0722   0.6552   0.7581
   5.250   0.8815   0.00774   0.00365  -0.0721   0.6497   0.7590
   5.500   0.9087   0.00772   0.00362  -0.0723   0.6444   0.7598
   5.750   0.9334   0.00768   0.00365  -0.0720   0.6376   0.7610
   6.000   0.9579   0.00764   0.00363  -0.0716   0.6284   0.7623
   6.250   0.9811   0.00766   0.00368  -0.0710   0.6173   0.7635
   6.500   1.0028   0.00773   0.00376  -0.0700   0.6033   0.7648
   6.750   1.0184   0.00791   0.00388  -0.0679   0.5791   0.7661
   7.000   1.0147   0.00836   0.00417  -0.0619   0.5385   0.7676
   7.250   0.9995   0.00895   0.00462  -0.0538   0.5058   0.7694
   7.500   0.9752   0.01006   0.00556  -0.0447   0.4698   0.7714
   7.750   0.9553   0.01142   0.00677  -0.0372   0.4333   0.7733
   8.000   0.9417   0.01285   0.00805  -0.0313   0.4005   0.7747
   8.250   0.9300   0.01431   0.00936  -0.0260   0.3672   0.7767
   8.500   0.9144   0.01602   0.01087  -0.0203   0.3247   0.7788
   8.750   0.9094   0.01738   0.01208  -0.0163   0.2921   0.7806
   9.000   0.9118   0.01847   0.01307  -0.0134   0.2660   0.7821
   9.250   0.9036   0.02005   0.01442  -0.0092   0.2204   0.7839
   9.500   0.9011   0.02146   0.01562  -0.0059   0.1823   0.7855
   9.750   0.9055   0.02261   0.01665  -0.0036   0.1571   0.7870
  10.000   0.9097   0.02381   0.01768  -0.0013   0.1265   0.7885
  10.250   0.9152   0.02499   0.01872   0.0007   0.1020   0.7898
  10.500   0.9257   0.02593   0.01960   0.0020   0.0884   0.7914
  10.750   0.9371   0.02682   0.02045   0.0033   0.0777   0.7932
  11.000   0.9508   0.02762   0.02126   0.0043   0.0711   0.7950
  11.250   0.9633   0.02851   0.02214   0.0054   0.0645   0.7969
  11.500   0.9783   0.02926   0.02291   0.0061   0.0596   0.7988
  11.750   0.9911   0.03016   0.02379   0.0071   0.0526   0.8006
  12.000   1.0046   0.03105   0.02467   0.0079   0.0471   0.8024
  12.250   1.0173   0.03201   0.02561   0.0088   0.0420   0.8041
  12.500   1.0298   0.03299   0.02657   0.0097   0.0362   0.8059
  12.750   1.0430   0.03392   0.02751   0.0104   0.0319   0.8083
  13.000   1.0531   0.03508   0.02867   0.0114   0.0259   0.8106
  13.250   1.0619   0.03637   0.02993   0.0125   0.0188   0.8129
  13.500   1.0702   0.03772   0.03125   0.0136   0.0136   0.8154
  13.750   1.0790   0.03908   0.03263   0.0145   0.0110   0.8179
  14.000   1.0880   0.04046   0.03403   0.0154   0.0097   0.8202
  14.250   1.0990   0.04168   0.03531   0.0161   0.0093   0.8235
  14.500   1.1096   0.04296   0.03667   0.0168   0.0088   0.8269
  14.750   1.1200   0.04429   0.03807   0.0174   0.0084   0.8308
  15.000   1.1309   0.04559   0.03943   0.0179   0.0080   0.8351
  15.250   1.1384   0.04718   0.04110   0.0187   0.0075   0.8402
  15.500   1.1405   0.04928   0.04331   0.0197   0.0069   0.8465
  15.750   1.1476   0.05096   0.04508   0.0203   0.0068   0.8541
  16.000   1.1570   0.05246   0.04669   0.0208   0.0064   0.8651
  16.250   1.1607   0.05444   0.04881   0.0216   0.0063   0.8817
  16.500   1.1729   0.05600   0.05056   0.0213   0.0062   0.9168
  16.750   1.2001   0.05899   0.05373   0.0159   0.0060   0.9414
  17.000   1.2270   0.06233   0.05719   0.0102   0.0058   0.9531
  17.250   1.2407   0.06512   0.06006   0.0080   0.0055   1.0000
  17.500   1.2415   0.06779   0.06280   0.0083   0.0054   1.0000
  17.750   1.2402   0.07070   0.06579   0.0085   0.0052   1.0000
  18.000   1.2317   0.07447   0.06965   0.0088   0.0050   1.0000
  18.250   1.2342   0.07710   0.07236   0.0087   0.0050   1.0000
  18.500   1.2157   0.08222   0.07763   0.0088   0.0049   1.0000
  18.750   1.2149   0.08537   0.08086   0.0085   0.0048   1.0000
